Time,Status,Message
2022-11-11 16:00:00-03:00,1,AllClear
2022-11-11 17:05:31.530000-03:00,2,Yellow
2022-11-11 17:05:45.795000-03:00,5,Red
2022-11-11 17:10:21.300000-03:00,1,AllClear
2022-11-11 16:54:47-03:00,10,RainStart
2022-11-11 17:01:55.571000-03:00,10,Q3Start
2022-11-11 17:21:27.915000-03:00,10,Q3End
2022-11-11 17:03:15.221000-03:00,10,Q3LapMagStart
2022-11-11 17:03:32.620000-03:00,10,Q3LapVerStart
2022-11-11 16:53:47-03:00,25.0,Track Temp 27.0 °C
2022-11-11 17:03:47-03:00,26.2,Track Temp 26.2 °C
2022-11-11 17:13:47-03:00,25.0,Track Temp 25.0 °C
